,Unnamed: 0,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
0,,52389,2014-01-01 01:06:24,United Kingdom,2152,UK2,Male,11.0,44,10.5,159,0.0,2014,1,159.0
1,,52390,2014-01-01 03:44:48,United States,2230,US15,Male,11.5,44-45,11.0,199,0.2,2014,1,159.20000000000002
2,,52391,2014-01-01 09:01:36,Canada,2160,CAN7,Male,9.5,42-43,9.0,149,0.2,2014,1,119.2
3,,52392,2014-01-01 09:16:00,United States,2234,US6,Female,9.5,40,7.5,159,0.0,2014,1,159.0
4,,52393,2014-01-01 13:35:12,United Kingdom,2222,UK4,Female,9.0,39-40,7.0,159,0.0,2014,1,159.0
5,,52394,2014-01-01 15:59:12,United States,2173,US15,Male,10.5,43-44,10.0,159,0.0,2014,1,159.0
6,,52395,2014-01-02 01:06:24,Germany,2200,GER2,Female,9.0,39-40,7.0,179,0.0,2014,1,179.0
7,,52396,2014-01-02 09:01:36,Canada,2238,CAN5,Male,10.0,43,9.5,169,0.0,2014,1,169.0
8,,52397,2014-01-02 09:16:00,United States,2191,US13,Male,10.5,43-44,10.0,139,0.0,2014,1,139.0
9,,52398,2014-01-02 13:35:12,United Kingdom,2237,UK1,Female,9.0,39-40,7.0,149,0.0,2014,1,149.0
10,,52399,2014-01-02 14:18:24,United States,2197,US1,Male,10.0,43,9.5,129,0.0,2014,1,129.0
11,,52399,2014-01-02 14:18:24,United States,2213,US11,Female,9.5,40,7.5,169,0.1,2014,1,152.1
12,,52399,2014-01-02 14:18:24,United States,2206,US2,Female,9.5,40,7.5,139,0.0,2014,1,139.0
13,,52400,2014-01-02 15:59:12,United States,2152,US15,Male,8.0,41,7.5,139,0.0,2014,1,139.0
14,,52401,2014-01-03 02:32:48,Germany,2235,GER1,Male,10.5,43-44,10.0,169,0.5,2014,1,84.5
15,,52401,2014-01-03 02:32:48,Germany,2197,GER1,Female,8.5,39,6.5,179,0.2,2014,1,143.20000000000002
16,,52402,2014-01-03 09:01:36,Canada,2240,CAN6,Male,9.5,42-43,9.0,199,0.3,2014,1,139.29999999999998
17,,52403,2014-01-03 09:16:00,United States,2221,US7,Male,11.0,44,10.5,149,0.5,2014,1,74.5
18,,52404,2014-01-03 14:18:24,United States,2234,US6,Female,9.5,40,7.5,159,0.0,2014,1,159.0
19,,52404,2014-01-03 14:18:24,United States,2197,US1,Male,10.0,43,9.5,129,0.0,2014,1,129.0
